station_id,latitude,longitude,start,end,n_epochs
CRBT,35.7916,-120.7508,2001-09-13,2026-04-26,8885
JLN5,35.8732,-120.8329,2014-01-14,2025-07-28,3796
LOWS,35.8287,-120.5943,2001-08-05,2026-05-02,8539
P284,35.9333,-120.9068,2005-02-08,2026-05-02,7730
P285,36.4172,-120.9815,2006-07-12,2026-05-02,7214
P287,36.0248,-120.6978,2005-02-05,2026-05-02,7728
P288,36.1402,-120.8789,2006-02-22,2026-05-02,7287
P289,36.1068,-120.7488,2007-01-26,2026-05-02,7015
P290,36.1789,-120.7283,2006-02-24,2026-05-02,7292
P291,35.9228,-120.6448,2007-08-23,2026-05-02,6818
P295,35.6971,-120.8424,2004-01-11,2026-05-02,8110
P523,35.3044,-120.8603,2006-02-01,2026-05-02,7306
P525,35.4258,-120.8081,2006-10-25,2026-05-02,6851
P526,35.6360,-120.8697,2004-01-12,2026-05-02,8113
P527,35.7541,-120.6048,2006-08-30,2026-05-02,7153
P528,35.3278,-120.5454,2006-09-21,2026-05-02,7142
P576,35.6697,-120.9700,2004-01-16,2025-01-16,7355
PEA1,36.1869,-120.7586,2016-11-17,2026-05-02,3399
PEA2,36.1805,-120.7668,2016-11-18,2026-05-02,3431
SHP5,35.2686,-120.6713,2013-02-25,2024-02-08,3715
USLO,35.3118,-120.6611,2000-09-28,2026-05-02,9274
