station_id,latitude,longitude,total_pixels,valid_pixels,status
ALTH,36.8896,-120.6698,1,0,outside_product_grid
BFLD,35.4131,-119.0453,1,0,outside_product_grid
BVPP,35.1573,-119.3475,1,0,outside_product_grid
CABU,35.5000,-119.5460,1,0,outside_product_grid
CACO,36.1764,-120.3596,9,0,insufficient_valid_pixels
CAD1,35.7594,-119.2438,1,0,outside_product_grid
CAFP,36.4240,-120.1020,1,0,outside_product_grid
CAFR,36.8144,-119.7475,1,0,outside_product_grid
CAHA,36.3234,-119.6228,1,0,outside_product_grid
CAKC,36.0080,-119.9674,1,0,outside_product_grid
CAMD,36.9755,-120.0792,1,0,outside_product_grid
CAND,35.9394,-120.4337,9,0,insufficient_valid_pixels
CARH,35.8884,-120.4308,9,0,insufficient_valid_pixels
CATF,35.1492,-119.4598,1,0,outside_product_grid
CAWO,36.4003,-119.1038,1,0,outside_product_grid
CRBT,35.7916,-120.7508,9,9,covered
CRCN,36.1140,-119.5680,1,0,outside_product_grid
CRGG,35.2421,-119.7248,1,0,outside_product_grid
DLNO,35.7500,-119.2431,1,0,outside_product_grid
DONO,36.6925,-119.0180,1,0,outside_product_grid
GDEC,35.1894,-119.8637,1,0,outside_product_grid
HOGS,35.8667,-120.4795,9,0,insufficient_valid_pixels
HUNT,35.8808,-120.4024,9,0,insufficient_valid_pixels
JLN5,35.8732,-120.8329,9,9,covered
LAND,35.8998,-120.4733,9,0,insufficient_valid_pixels
LEMA,36.2920,-119.7824,1,0,outside_product_grid
LOWS,35.8287,-120.5943,9,9,covered
MNMC,35.9695,-120.4341,9,0,insufficient_valid_pixels
MULN,36.5651,-120.0916,1,0,outside_product_grid
P056,36.0274,-119.0629,1,0,outside_product_grid
P280,35.5441,-120.3476,9,0,insufficient_valid_pixels
P281,35.8411,-120.3895,9,0,insufficient_valid_pixels
P282,35.8378,-120.3452,9,0,insufficient_valid_pixels
P283,35.8067,-120.2853,1,0,outside_product_grid
P284,35.9333,-120.9068,9,9,covered
P285,36.4172,-120.9815,9,9,covered
P286,36.5159,-120.8531,9,0,insufficient_valid_pixels
P287,36.0248,-120.6978,9,9,covered
P288,36.1402,-120.8789,9,9,covered
P289,36.1068,-120.7488,9,9,covered
P290,36.1789,-120.7283,9,9,covered
P291,35.9228,-120.6448,9,9,covered
P293,36.0894,-120.5430,9,0,insufficient_valid_pixels
P294,36.1232,-120.4399,9,0,insufficient_valid_pixels
P295,35.6971,-120.8424,9,9,covered
P296,36.0517,-120.3636,9,0,insufficient_valid_pixels
P297,35.9741,-120.5519,9,0,insufficient_valid_pixels
P298,36.0158,-120.2941,1,0,outside_product_grid
P300,36.3044,-120.2770,1,0,outside_product_grid
P302,36.6347,-120.6186,1,0,outside_product_grid
P304,36.7390,-120.3566,1,0,outside_product_grid
P307,36.9473,-120.0579,1,0,outside_product_grid
P514,35.0107,-120.4097,9,0,insufficient_valid_pixels
P516,35.1062,-120.3834,9,0,insufficient_valid_pixels
P518,35.0200,-120.0753,1,0,outside_product_grid
P522,35.0866,-119.5361,1,0,outside_product_grid
P523,35.3044,-120.8603,9,9,covered
P525,35.4258,-120.8081,9,9,covered
P526,35.6360,-120.8697,9,9,covered
P527,35.7541,-120.6048,9,9,covered
P528,35.3278,-120.5454,9,9,covered
P529,35.4405,-120.3538,9,0,insufficient_valid_pixels
P530,35.6248,-120.4804,9,0,insufficient_valid_pixels
P531,35.7927,-120.5366,9,0,insufficient_valid_pixels
P532,35.6338,-120.2670,1,0,outside_product_grid
P533,35.7479,-120.3710,9,0,insufficient_valid_pixels
P535,35.2351,-120.1014,1,0,outside_product_grid
P536,35.2798,-120.0250,1,0,outside_product_grid
P537,35.3168,-119.9353,1,0,outside_product_grid
P538,35.5342,-120.1125,1,0,outside_product_grid
P539,35.7027,-120.1820,1,0,outside_product_grid
P540,35.8013,-120.1306,1,0,outside_product_grid
P541,35.6867,-120.0007,1,0,outside_product_grid
P542,35.6889,-120.2926,1,0,outside_product_grid
P543,35.3190,-119.7132,1,0,outside_product_grid
P544,35.7313,-119.7380,1,0,outside_product_grid
P552,35.6867,-120.2450,1,0,outside_product_grid
P563,35.4187,-119.4212,1,0,outside_product_grid
P564,35.6229,-119.3494,1,0,outside_product_grid
P565,35.7439,-119.2367,1,0,outside_product_grid
P566,36.3245,-119.2293,1,0,outside_product_grid
P576,35.6697,-120.9700,9,8,covered
P578,35.6943,-120.2390,1,0,outside_product_grid
P602,35.7292,-120.2279,1,0,outside_product_grid
P789,35.9466,-120.4717,9,0,insufficient_valid_pixels
P790,35.9291,-120.5154,9,0,insufficient_valid_pixels
P809,35.7439,-119.2368,1,0,outside_product_grid
P810,35.7440,-119.2367,1,0,outside_product_grid
PEA1,36.1869,-120.7586,9,9,covered
PEA2,36.1805,-120.7668,9,9,covered
POMM,35.9199,-120.4784,9,0,insufficient_valid_pixels
RAPT,36.6649,-119.4487,1,0,outside_product_grid
RBRU,36.7591,-119.8287,1,0,outside_product_grid
RNCH,35.9000,-120.5248,9,0,insufficient_valid_pixels
SHN5,35.6742,-120.3471,9,0,insufficient_valid_pixels
SHP5,35.2686,-120.6713,9,9,covered
SIMM,35.3511,-119.9978,1,0,outside_product_grid
TAFT,35.1565,-119.4852,1,0,outside_product_grid
TBLP,35.9174,-120.3603,9,0,insufficient_valid_pixels
TRAN,36.6508,-120.2490,1,0,outside_product_grid
USLO,35.3118,-120.6611,9,9,covered
